001,0010110,0001,0001,001,010,0,0,011,010,0,001,0010,1,01110,00001
001,0100001,0010,1010,001,010,0,1,001,001,1,001,0010,0,00000,00110
001,0010110,0001,0001,001,001,0,1,010,011,0,001,0011,1,00111,01000
001,0010101,0001,0001,001,010,0,1,001,100,1,001,0100,1,01111,00010
011,0011110,0001,0001,001,001,0,0,001,010,0,001,0101,1,01001,00010
001,0010110,0001,0001,001,010,0,1,010,010,0,010,0001,1,00101,00110
001,0010110,0001,0001,001,001,0,1,001,010,0,001,0110,1,00010,00010
001,0010110,0001,1011,001,010,1,1,001,010,0,001,0011,0,00000,00010
001,0010001,0001,0001,001,011,0,1,011,010,0,001,0001,1,00000,01001
010,0010010,0001,1000,001,001,0,1,010,010,1,011,0010,1,10000,00010
001,0010110,0011,0001,001,001,0,0,001,010,0,011,0010,1,01010,00010
001,0101101,0100,0001,010,001,1,1,011,001,0,001,0001,0,00000,00011
001,0010010,0011,0001,001,010,0,1,010,011,0,010,0011,1,01011,01010
001,0101110,0001,0001,010,010,1,0,011,010,1,001,0011,1,00100,01010
001,0011100,0001,0001,010,001,1,1,011,010,1,001,0111,1,10001,01001
001,0100000,0001,0001,011,010,1,0,001,010,1,001,0010,0,00000,00011
001,0011001,0011,0001,010,011,0,1,010,010,1,001,0010,1,00001,00110
001,0010111,0101,0101,001,010,1,1,011,010,0,001,0001,0,00000,00001
100,0110000,0110,0001,010,001,1,1,011,010,1,010,0010,0,00000,00100
001,0010011,0111,0001,001,010,0,0,010,001,1,001,0001,0,00000,00011
001,0010111,0111,0001,001,010,0,1,010,010,1,001,0010,1,01100,00010
001,0101001,0001,0001,001,010,1,1,011,010,1,011,0001,0,00000,00111
001,0010101,1000,1000,001,010,0,1,001,010,0,001,0001,0,00000,00001
001,0011100,0001,0001,001,100,1,0,011,001,1,001,0001,0,00000,01011
001,0011000,0001,0001,001,010,0,1,010,011,1,011,0010,1,00110,01100
001,0011100,0001,0001,001,001,1,1,010,010,0,001,0001,1,00010,01010
001,0010110,1001,0001,001,001,0,0,011,011,0,011,0010,1,00011,00101
001,0011111,0001,0001,010,010,0,1,011,010,1,001,1000,1,01101,01110
001,0011000,0001,0001,001,100,1,1,011,011,1,100,0001,1,01000,01010
